TableName, FieldName
GradeScaleItem, DCID
GradeScaleItem, AddedValue
GradeScaleItem, Alt_Grade_Points
GradeScaleItem, CountsInGPA
GradeScaleItem, CutoffPercentage
GradeScaleItem, CutoffPoints
GradeScaleItem, Description
GradeScaleItem, ExcludeFromAFG
GradeScaleItem, Grade_Points
GradeScaleItem, Grade_Replacement_Policy
GradeScaleItem, GradeScaleID
GradeScaleItem, GraduationCredit
GradeScaleItem, ID
GradeScaleItem, Modify_Code
GradeScaleItem, Name
GradeScaleItem, TeacherScale
GradeScaleItem, Value
GradReqSets, DCID
GradReqSets, GradReqSetID
GradReqSets, Name
GradReqSets, SchoolID
HonorRoll, DCID
HonorRoll, DateStored
HonorRoll, GPA
HonorRoll, Grade_Level
HonorRoll, ID
HonorRoll, Level
HonorRoll, Log
HonorRoll, Message
HonorRoll, Method
HonorRoll, SchoolID
HonorRoll, SchoolName
HonorRoll, StoreCode
HonorRoll, StudentID
HonorRoll, YearID
Logins, DCID
Logins, Hits
Logins, ID
Logins, IPAddr
Logins, LoginDate
Logins, LoginTicks
Logins, LoginTime
Logins, LogoutDate
Logins, LogoutStatus
Logins, LogoutTime
Logins, MinutesOnline
Logins, Name
Logins, PageViews
Logins, Platform
Logins, PSID
Logins, PW
Logins, SchoolID
Logins, Server_Instance_Id
Logins, StudentID
Logins, Unused1
Logins, UserAgent
Logins, UserID
Logins, UserType
MimeTypes, DCID
MimeTypes, Mime
MimeTypes, Suffix
Pages, DCID
Pages, Directory
Pages, Filename
Pages, ID
Pages, ModDate
Pages, ModifyCode
Pages, ModSecs
Pages, ModTime
Pages, Path
Pages, Security
Period, DCID
Period, Abbreviation
Period, ID
Period, Name
Period, Period_Number
Period, SchoolID
Period, Sort_Order
Period, Year_ID
Person, DCID
Person, ID
PGAssignments, DCID
PGAssignments, Abbreviation
PGAssignments, AssignmentID
PGAssignments, DateDue
PGAssignments, Description
PGAssignments, GradebookType
PGAssignments, ID
PGAssignments, IncludeInFinalGrades
PGAssignments, Name
PGAssignments, PGCategoriesID
PGAssignments, PointsPossible
PGAssignments, PublishDaysBeforeDue
PGAssignments, PublishOnSpecificDate
PGAssignments, PublishScores
PGAssignments, PublishState
PGAssignments, SectionID
PGAssignments, Type
PGAssignments, Weight
PGCategories, DCID
PGCategories, Abbreviation
PGCategories, DefaultPtsPoss
PGCategories, Description
PGCategories, ID
PGCategories, Name
PGCategories, SectionID
PGCategories, Unused1
PGNotification, DCID
PGNotification, Category
PGNotification, ID
PGNotification, Identifier
PGNotification, Ntf_Value
PGNotification, SchoolID
PGNotification, SectionID
PGNotification, TeacherID
PGNotification, YearID
PhoneLog, DCID
PhoneLog, Date
PhoneLog, Duration
PhoneLog, EntryType
PhoneLog, ID
PhoneLog, LogType
PhoneLog, OptionsChosen
PhoneLog, SchoolID
PhoneLog, StartTicks
PhoneLog, StartTime
PhoneLog, StudentID
Prefs, DCID
Prefs, ID
Prefs, Name
Prefs, SchoolID
Prefs, UserID
Prefs, Value
Prefs, YearID
Relationship, DCID
Relationship, ID
Relationship, Person_ID
Relationship, ReciprocalRelationship_ID
Relationship, RelatedPerson_ID
RepoBatchSetups, DCID
RepoBatchSetups, Checksum
RepoBatchSetups, Creation_Date
RepoBatchSetups, Creation_Time
RepoBatchSetups, Creation_Timestamp
RepoBatchSetups, Current_Selection_BLOB
RepoBatchSetups, Destination
RepoBatchSetups, End_Date
RepoBatchSetups, End_Time
RepoBatchSetups, External_FileName
RepoBatchSetups, External_FileSize
RepoBatchSetups, FileName
RepoBatchSetups, Internal_ID
RepoBatchSetups, International_Chars_Option
RepoBatchSetups, Merger_Action
RepoBatchSetups, Priority
RepoBatchSetups, Report_Output
RepoBatchSetups, ReportID
RepoBatchSetups, ReportSetupID
RepoBatchSetups, Resulting_error_code
RepoBatchSetups, Resulting_error_message
RepoBatchSetups, SchoolID
RepoBatchSetups, Server_InstanceID
RepoBatchSetups, Setups
RepoBatchSetups, Specific_Date
RepoBatchSetups, Specific_Time
RepoBatchSetups, Start_Date
RepoBatchSetups, Start_Time
RepoBatchSetups, Start_Timestamp
RepoBatchSetups, Status
RepoBatchSetups, TableToUse_Name
RepoBatchSetups, Type
RepoBatchSetups, Use_Current_Selection
